region,category,year,units,installed_base
北米,鉱山機械,2005,552,3784
北米,鉱山機械,2006,664,4178
北米,鉱山機械,2007,878,4758
北米,鉱山機械,2008,1091,5509
北米,鉱山機械,2009,956,6072
北米,鉱山機械,2010,504,6141
北米,鉱山機械,2011,1212,6914
北米,鉱山機械,2012,1222,7642
北米,鉱山機械,2013,907,8003
北米,鉱山機械,2014,669,8100
北米,鉱山機械,2015,343,7864
北米,鉱山機械,2016,287,7589
北米,鉱山機械,2017,286,7332
北米,鉱山機械,2018,386,7195
北米,鉱山機械,2019,418,7099
北米,鉱山機械,2020,481,7073
北米,鉱山機械,2021,614,7182
北米,鉱山機械,2022,1103,7772
北米,鉱山機械,2023,1013,8229
北米,鉱山機械,2024,662,8303
北米,鉱山機械,2025,695,8405
日本,ミニショベル,1995,21805,165137
日本,ミニショベル,1996,23660,168155
日本,ミニショベル,1997,22339,169475
日本,ミニショベル,1998,21251,169541
日本,ミニショベル,1999,19732,168080
日本,ミニショベル,2000,22866,169936
日本,ミニショベル,2001,23157,171851
日本,ミニショベル,2002,22548,172917
日本,ミニショベル,2003,26587,177890
日本,ミニショベル,2004,25994,181647
日本,ミニショベル,2005,26079,185020
日本,ミニショベル,2006,28371,190263
日本,ミニショベル,2007,29763,196243
日本,ミニショベル,2008,32178,203891
日本,ミニショベル,2009,24122,202527
日本,ミニショベル,2010,31709,208920
日本,ミニショベル,2011,28173,210978
日本,ミニショベル,2012,27694,212299
日本,ミニショベル,2013,30176,215938
日本,ミニショベル,2014,29157,218102
日本,ミニショベル,2015,30320,221159
日本,ミニショベル,2016,28149,221663
日本,ミニショベル,2017,30142,224097
日本,ミニショベル,2018,30640,226725
日本,ミニショベル,2019,27142,225527
日本,ミニショベル,2020,24636,221972
日本,ミニショベル,2021,25370,219595
日本,ミニショベル,2022,29117,221263
日本,ミニショベル,2023,28157,221762
日本,ミニショベル,2024,29032,223074
日本,ミニショベル,2025,29854,225043
日本,一般建機,1995,17742,175232
日本,一般建機,1996,18155,177457
日本,一般建機,1997,14271,175595
日本,一般建機,1998,11907,171539
日本,一般建機,1999,12308,168253
日本,一般建機,2000,18156,171113
日本,一般建機,2001,13725,169282
日本,一般建機,2002,9779,163672
日本,一般建機,2003,8302,157095
日本,一般建機,2004,10769,153583
日本,一般建機,2005,12623,152243
日本,一般建機,2006,15565,153968
日本,一般建機,2007,14729,154700
日本,一般建機,2008,14545,155181
日本,一般建機,2009,9350,150424
日本,一般建機,2010,9993,146742
日本,一般建機,2011,14817,148218
日本,一般建機,2012,15626,150370
日本,一般建機,2013,17230,153930
日本,一般建機,2014,16887,156823
日本,一般建機,2015,16412,158979
日本,一般建機,2016,13865,158391
日本,一般建機,2017,14758,158750
日本,一般建機,2018,14380,158698
日本,一般建機,2019,14927,159198
日本,一般建機,2020,14076,158801
日本,一般建機,2021,13665,158030
日本,一般建機,2022,15523,159187
日本,一般建機,2023,15598,160313
日本,一般建機,2024,14962,160702
日本,一般建機,2025,14692,160785
欧州,ミニショベル,1995,45575,367036
欧州,ミニショベル,1996,47480,368636
欧州,ミニショベル,1997,51655,374211
欧州,ミニショベル,1998,54273,381708
欧州,ミニショベル,1999,57694,391691
欧州,ミニショベル,2000,61917,404646
欧州,ミニショベル,2001,60583,414648
欧州,ミニショベル,2002,62198,425014
欧州,ミニショベル,2003,57700,429587
欧州,ミニショベル,2004,59470,435358
欧州,ミニショベル,2005,58007,438947
欧州,ミニショベル,2006,64043,448120
欧州,ミニショベル,2007,68316,460424
欧州,ミニショベル,2008,63420,466291
欧州,ミニショベル,2009,54660,462664
欧州,ミニショベル,2010,60743,465574
欧州,ミニショベル,2011,63747,471125
欧州,ミニショベル,2012,62087,474320
欧州,ミニショベル,2013,59290,474320
欧州,ミニショベル,2014,64356,479386
欧州,ミニショベル,2015,67434,486898
欧州,ミニショベル,2016,70869,496905
欧州,ミニショベル,2017,69292,504085
欧州,ミニショベル,2018,69069,510143
欧州,ミニショベル,2019,71509,517884
欧州,ミニショベル,2020,55501,508649
欧州,ミニショベル,2021,72348,517417
欧州,ミニショベル,2022,78618,531356
欧州,ミニショベル,2023,77536,542471
欧州,ミニショベル,2024,73962,548626
欧州,ミニショベル,2025,71851,551898
欧州,一般建機,1995,27141,294647
欧州,一般建機,1996,29037,296901
欧州,一般建機,1997,27512,297420
欧州,一般建機,1998,32227,302608
欧州,一般建機,1999,33846,308943
欧州,一般建機,2000,38355,319212
欧州,一般建機,2001,33268,323462
欧州,一般建機,2002,31862,325921
欧州,一般建機,2003,31095,327386
欧州,一般建機,2004,32834,330458
欧州,一般建機,2005,37346,337762
欧州,一般建機,2006,39903,346960
欧州,一般建機,2007,44623,360042
欧州,一般建機,2008,42277,369587
欧州,一般建機,2009,23312,359299
欧州,一般建機,2010,25170,351804
欧州,一般建機,2011,29958,349779
欧州,一般建機,2012,27644,345626
欧州,一般建機,2013,25822,340027
欧州,一般建機,2014,27868,336984
欧州,一般建機,2015,31953,338303
欧州,一般建機,2016,32960,340508
欧州,一般建機,2017,35451,345005
欧州,一般建機,2018,41350,354991
欧州,一般建機,2019,42287,365006
欧州,一般建機,2020,34301,366123
欧州,一般建機,2021,40538,373378
欧州,一般建機,2022,45798,385233
欧州,一般建機,2023,42462,392671
欧州,一般建機,2024,36962,393936
欧州,一般建機,2025,36863,394988
欧州,鉱山機械,1995,90,1224
欧州,鉱山機械,1996,95,1232
欧州,鉱山機械,1997,66,1209
欧州,鉱山機械,1998,79,1201
欧州,鉱山機械,1999,76,1193
欧州,鉱山機械,2000,68,1175
欧州,鉱山機械,2001,67,1157
欧州,鉱山機械,2002,74,1148
欧州,鉱山機械,2003,74,1141
欧州,鉱山機械,2004,92,1149
欧州,鉱山機械,2005,150,1218
欧州,鉱山機械,2006,234,1367
欧州,鉱山機械,2007,363,1632
欧州,鉱山機械,2008,424,1940
欧州,鉱山機械,2009,461,2263
欧州,鉱山機械,2010,158,2259
欧州,鉱山機械,2011,429,2528
欧州,鉱山機械,2012,400,2748
欧州,鉱山機械,2013,229,2781
欧州,鉱山機械,2014,189,2769
欧州,鉱山機械,2015,126,2697
欧州,鉱山機械,2016,98,2603
欧州,鉱山機械,2017,107,2525
欧州,鉱山機械,2018,150,2494
欧州,鉱山機械,2019,142,2459
欧州,鉱山機械,2020,169,2453
欧州,鉱山機械,2021,253,2531
欧州,鉱山機械,2022,373,2723
欧州,鉱山機械,2023,174,2704
欧州,鉱山機械,2024,165,2676
欧州,鉱山機械,2025,188,2673
